result,home_elo,away_elo,home_recent_goals_scored_home,home_recent_goals_scored_away,home_recent_goals_conceded_home,home_recent_goals_conceded_away,home_recent_home_games_won,home_recent_home_games_lost,home_recent_away_games_won,home_recent_away_games_lost,away_recent_goals_scored_home,away_recent_goals_scored_away,away_recent_goals_conceded_home,away_recent_goals_conceded_away,away_recent_home_games_won,away_recent_home_games_lost,away_recent_away_games_won,away_recent_away_games_lost
D,1677.23132324,1701.23425293,8,4,3,6,3,2,1,4,11,6,9,4,2,4,2,2
A,1644.97241211,1747.40319824,1,7,6,7,0,5,3,2,2,5,7,5,1,4,1,4
H,1884.94018555,1671.85498047,9,10,5,4,4,1,3,2,8,5,7,9,3,2,1,4
H,1773.59667969,1685.60754395,11,6,4,3,3,2,2,3,9,4,2,6,4,1,1,4
H,1757.12304688,1676.72399902,8,6,4,11,4,1,1,4,8,4,3,6,3,2,1,4
D,1572.40588379,1670.55383301,4,3,5,7,2,3,1,4,8,1,4,6,3,2,0,5
D,1581.12475586,1651.50109863,8,5,6,8,3,2,1,4,5,6,5,9,2,4,1,3
A,1688.85949707,1672.06640625,9,7,7,5,2,3,2,3,7,5,2,10,4,0,2,4
A,1762.9284668,1571.98498535,2,9,6,8,1,3,2,4,6,4,6,10,1,4,1,4
D,1638.43725586,1856.73400879,4,7,8,7,0,5,3,2,8,5,3,6,4,2,1,3
H,1669.59411621,1642.54333496,8,1,4,5,3,2,0,5,5,7,8,7,0,5,3,2
D,1591.6003418,1778.11132812,5,8,6,12,0,4,2,4,11,6,3,3,4,1,2,3
H,1682.10241699,1573.36560059,7,5,2,7,4,0,3,3,3,3,5,7,1,4,1,4
H,1651.3951416,1857.40722656,2,6,3,9,1,4,1,4,9,7,3,3,4,2,3,1
H,1852.62792969,1761.68823242,7,6,3,7,3,2,1,4,10,4,5,9,5,1,1,3
H,1681.09289551,1652.68432617,9,4,2,6,4,1,1,4,5,5,10,5,1,4,2,3
H,1672.15869141,1888.98754883,8,4,3,6,3,2,1,4,12,9,5,3,5,1,3,1
H,1667.80761719,1743.31311035,6,5,6,12,2,2,1,5,4,8,10,6,1,4,2,3
H,1894.51879883,1683.83337402,10,11,4,6,4,1,3,2,10,1,5,5,3,2,0,5
D,1596.61206055,1683.53198242,6,4,5,6,2,3,2,3,8,3,6,9,3,2,1,4
H,1672.38562012,1666.47497559,7,8,5,7,2,3,2,3,5,3,5,9,2,4,0,4
H,1648.63525391,1599.11853027,5,5,10,6,1,4,2,3,6,7,7,12,0,5,1,4
H,1573.36584473,1693.37658691,3,2,5,8,1,4,0,5,9,4,3,6,4,1,1,4
A,1852.67810059,1871.90393066,7,9,1,6,4,1,3,2,12,6,5,7,4,1,1,4
H,1744.2232666,1690.33666992,10,7,3,14,5,0,1,4,8,5,2,6,5,0,3,2
A,1636.53869629,1688.08239746,5,6,8,8,0,5,3,2,10,4,5,6,3,2,1,4
A,1680.50158691,1749.10778809,10,2,5,5,3,2,0,5,12,7,4,11,6,0,1,3
D,1592.00671387,1678.52734375,4,7,4,14,0,4,1,5,9,6,6,5,3,3,2,2
A,1685.45202637,1784.33691406,6,6,1,8,4,0,3,3,11,4,3,2,4,1,1,4
H,1660.33337402,1726.88415527,5,4,5,11,2,3,0,5,4,6,12,8,0,5,1,4
H,1881.23791504,1897.85046387,12,8,5,7,4,1,2,3,13,8,5,6,5,1,2,2
D,1683.81591797,1627.98010254,9,3,3,5,4,1,1,4,5,6,9,8,0,5,3,2
H,1696.64099121,1597.10241699,10,5,5,5,3,2,2,3,4,4,6,6,1,4,2,3
H,1683.04162598,1582.92651367,5,4,4,10,2,2,1,5,3,2,5,8,1,4,0,5
H,1666.71081543,1571.2791748,7,2,4,5,2,3,0,5,3,3,5,9,1,4,0,5
H,1669.37744141,1672.28503418,7,4,4,5,4,1,3,2,8,7,6,6,2,3,2,3
H,1890.60754395,1625.67834473,13,8,5,7,4,1,2,3,5,5,9,8,0,5,2,3
D,1674.48413086,1788.77807617,10,3,5,5,3,2,1,4,11,7,3,3,4,1,2,3
D,1696.66040039,1746.96386719,12,5,5,5,4,1,2,3,10,8,4,11,5,0,2,3
A,1655.87561035,1585.44946289,6,4,5,9,3,3,0,4,4,4,6,7,1,4,2,3
D,1683.05566406,1880.25366211,8,4,5,9,3,2,1,4,11,8,4,8,4,1,2,3
A,1586.61560059,1701.66967773,5,6,5,12,0,5,1,4,4,6,12,8,0,5,1,4
H,1876.79174805,1675.71606445,11,5,4,8,4,1,1,4,11,0,6,5,3,3,0,4
H,1787.54614258,1671.01794434,9,8,0,4,4,0,2,4,9,2,5,4,3,3,0,4
D,1713.38391113,1696.05761719,3,9,8,8,0,4,2,4,13,4,6,4,4,2,2,2
H,1747.56677246,1643.99072266,10,7,4,12,5,0,1,4,5,4,6,9,2,4,0,4
D,1622.7935791,1574.90136719,4,5,7,11,0,4,2,4,4,6,7,12,0,5,1,4
H,1665.98510742,1893.49230957,8,6,6,8,2,3,1,4,16,5,5,6,5,1,1,3
D,1811.17285156,1675.67736816,6,4,3,8,3,2,1,4,7,4,5,5,4,1,3,2
A,1667.60388184,1686.51745605,5,10,5,8,2,2,3,3,9,4,3,9,3,2,1,4
D,1597.38635254,1681.08679199,5,3,5,6,1,4,2,3,7,4,5,2,4,1,3,2
H,1578.19189453,1753.15161133,4,7,7,11,0,5,1,4,10,7,3,12,5,0,1,4
D,1792.85534668,1698.54248047,11,8,0,3,5,0,2,3,11,5,6,5,3,2,2,3
D,1805.76342773,1677.6595459,5,4,3,8,2,3,1,4,8,6,4,8,3,2,1,4
H,1658.41357422,1665.70861816,7,10,8,6,2,3,3,2,9,2,5,6,3,2,0,5
H,1672.21057129,1881.81787109,9,0,6,7,2,3,0,5,13,5,5,7,4,1,1,4
A,1566.16223145,1880.29724121,5,3,5,9,1,4,0,5,10,5,3,8,4,1,1,4
D,1619.50305176,1638.40576172,5,4,8,11,0,5,1,4,4,4,5,11,2,3,0,5
H,1656.69543457,1688.60827637,9,3,4,9,3,1,0,6,12,0,7,6,3,3,0,4
D,1682.89123535,1617.94018555,3,7,2,9,2,2,1,5,6,3,9,11,0,6,0,4
D,1680.79760742,1588.68774414,5,5,4,3,3,1,3,3,8,6,10,8,1,5,1,3
A,1639.96862793,1667.42675781,4,5,4,12,2,2,0,6,10,10,6,6,3,2,3,2
H,1718.30627441,1788.36547852,4,11,8,9,0,4,3,3,11,5,0,3,5,1,1,3
H,1865.42016602,1597.67553711,13,5,5,9,4,1,1,4,6,2,6,5,1,5,2,2
D,1883.1270752,1800.53173828,10,6,3,7,4,1,2,3,6,3,4,8,2,4,0,4
H,1742.65576172,1692.92199707,10,8,3,11,5,0,1,4,8,5,4,10,2,3,1,4
H,1878.9630127,1777.09118652,10,6,2,7,4,1,2,3,9,5,0,5,4,1,1,4
H,1663.89562988,1593.08703613,10,2,4,8,4,1,0,5,7,6,9,8,1,4,1,4
H,1679.14343262,1681.40808105,5,5,4,8,2,3,0,5,10,0,5,7,3,2,0,5
D,1676.39831543,1676.50463867,5,4,4,3,3,2,2,3,10,9,6,6,3,2,3,2
H,1729.58056641,1595.26733398,6,9,8,7,1,4,3,2,6,2,4,7,1,4,2,3
H,1747.65661621,1804.69580078,10,8,3,11,5,0,1,4,4,4,3,9,1,4,0,5
H,1707.16748047,1687.92114258,9,4,5,5,3,2,1,4,8,5,4,10,2,3,1,4
D,1586.48022461,1630.89074707,7,5,9,7,1,4,1,4,4,3,5,8,2,3,0,5
D,1797.11181641,1670.50244141,2,4,3,10,0,4,0,6,12,2,4,8,5,1,0,4
H,1678.53088379,1734.50549316,10,9,6,7,3,2,2,3,8,9,7,7,2,3,3,2
D,1675.02001953,1712.95263672,10,0,5,6,3,2,0,5,10,3,5,3,4,2,1,3
A,1559.39111328,1869.52355957,5,3,6,8,1,4,0,5,14,5,4,9,5,0,1,4
D,1621.68798828,1755.24060059,6,5,8,13,0,5,0,5,9,8,3,11,5,0,1,4
A,1590.34228516,1882.94018555,3,2,3,9,0,4,2,4,13,5,4,7,5,1,1,3
H,1682.13598633,1674.37194824,8,5,4,11,2,2,1,5,7,3,6,3,3,3,1,3
A,1675.69628906,1688.10949707,9,3,3,9,4,1,0,5,12,5,7,9,3,2,1,4
D,1685.10021973,1584.12316895,6,4,4,7,3,2,0,5,3,2,7,6,0,5,2,3
D,1727.02502441,1555.32897949,8,6,7,6,2,3,2,3,5,3,7,8,1,4,0,5
H,1873.58569336,1780.22644043,14,7,4,7,5,0,2,3,10,7,1,8,4,1,1,4
H,1753.5246582,1686.01147461,9,10,3,12,5,0,1,4,9,9,6,7,3,2,2,3
A,1713.96813965,1791.91796875,9,5,4,5,4,1,1,4,3,4,4,9,0,5,0,5
H,1889.15917969,1623.40393066,12,9,4,7,4,1,2,3,8,5,10,11,0,6,0,4
H,1631.72143555,1674.00439453,4,3,4,8,2,2,0,6,11,0,7,6,2,3,0,5
H,1759.9017334,1589.87243652,9,10,2,12,5,0,1,4,6,2,8,6,1,4,0,5
A,1587.11743164,1673.1048584,5,2,7,7,1,3,0,6,8,5,7,7,3,3,0,4
H,1776.12597656,1720.96130371,9,8,1,10,3,1,1,5,6,6,3,6,2,3,2,3
A,1666.51489258,1666.20837402,11,0,7,6,2,3,0,5,9,3,4,9,4,2,0,4
D,1799.84082031,1891.51721191,3,5,4,9,0,4,1,5,12,9,5,7,4,1,2,3
H,1679.63439941,1639.21105957,9,9,5,9,3,1,2,4,5,2,4,5,3,2,0,5
A,1697.59741211,1762.65673828,12,6,7,6,3,2,2,3,10,7,2,7,6,0,1,3
H,1613.63525391,1680.48217773,4,8,5,18,0,4,0,6,7,4,4,7,3,2,0,5
H,1890.87280273,1629.84399414,12,9,5,6,4,1,2,3,5,3,4,9,3,2,0,5
H,1579.60681152,1588.74133301,6,2,9,5,1,4,0,5,3,3,7,7,0,4,2,4
D,1781.14416504,1689.74462891,12,7,3,9,4,1,1,4,10,6,8,6,2,3,2,3
H,1680.61560059,1715.9432373,7,7,7,8,2,3,1,4,6,8,3,7,2,3,2,3
A,1689.00134277,1554.38134766,13,8,6,6,4,1,2,3,5,2,8,7,1,4,0,5
A,1713.08764648,1877.68615723,6,5,3,3,3,2,2,3,16,6,5,6,6,0,2,2
H,1683.67053223,1672.63781738,5,8,3,11,3,2,1,4,7,4,4,6,3,2,0,5
A,1621.47949219,1800.48510742,6,7,6,14,1,4,0,5,5,3,6,6,0,5,1,4
A,1579.390625,1885.51513672,3,4,7,11,0,4,1,5,11,8,2,6,5,0,3,2
A,1576.56762695,1776.81835938,2,4,7,11,0,4,1,5,10,7,4,9,3,2,1,4
H,1662.06982422,1705.25854492,5,4,3,9,2,2,0,6,6,4,5,3,3,3,1,3
H,1628.05541992,1694.23864746,2,4,2,11,2,2,0,6,8,7,3,8,4,2,1,3
H,1705.77478027,1612.48132324,5,8,1,9,2,2,2,4,6,7,8,14,1,4,0,5
D,1809.48339844,1649.0526123,4,6,4,6,0,4,2,4,10,0,11,6,1,4,0,5
D,1567.15234375,1588.95739746,5,4,8,7,1,4,1,4,9,2,10,5,2,3,0,5
D,1888.33813477,1676.23034668,11,7,2,5,5,0,3,2,12,8,8,6,3,2,2,3
D,1770.50952148,1892.66149902,8,8,1,7,5,0,2,3,11,9,5,6,4,1,2,3
H,1638.20678711,1567.86950684,4,3,3,9,3,2,0,5,5,4,9,7,0,5,1,4
D,1596.56018066,1893.35754395,9,3,7,6,2,2,0,6,10,7,3,5,4,1,3,2
